Variable,DVT,IVCT,PE,Any_VTE,n
Incidence,12 (18%),8 (12%),5 (8%),18 (27%),66
Index Hospitalization,9 (14%),6 (9%),3 (5%),14 (21%),66
Readmission,3 (5%),2 (3%),2 (3%),5 (8%),62
Timing (days),17  ±  17,13  ±  12,13  ±  8,14  ±  15,66
