Label,N,Y,Total_col
None,25,3,28 (45%)
+AP,10,1,11 (18%)
+PAC,6,0,6 (10%)
+TAC,11,1,12 (19%)
"+PAC, +AP",4,0,4 (6%)
"+TAC, +AP",1,0,1 (2%)
